Time between fidgets	Walk Animation Time	Attack Animation Time	Flight Animation Distance	Upper-right Missile Offset		Right Missile Offset		Lower-right Missile Offset		Missile Frame Angles												Troop Count Location Offset	Attack Climax Frame	Name (reference only)
				X	Y	X	Y	X	Y	These must go from high to low (90 to -90)														
0.5	0.35	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Pikeman
0.5	0.2	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Halberdier
0.5	0.25	0.5	0.5	38	-65	36	-59	21	-50	90	72	45	27	0	-27	-45	-72	-90	0	0	0	0	7	Light Crossboman
0.5	0.25	0.5	0.5	34	-71	38	-61	17	-53	90	72	45	27	0	-27	-45	-72	-90	0	0	0	0	7	Heavy Crossbowman
0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Griffin
0.5	0.35	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Royal Griffin
0.5	0.2	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Swordsman
0.5	0.2	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Crusader
0.5	0.25	0.5	0.5	38	-95	61	-49	31	11	90	72	45	27	0	-27	-45	-72	-90	0	0	0	0	8	Monk
0.5	0.25	0.5	0.5	37	-98	62	-53	28	3	90	72	45	27	0	-27	-45	-72	-90	0	0	0	0	6	Zealot
0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cavalier
0.5	0.2	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Champion
0.5	0.2	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Angel
0.5	0.2	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Archangel



0.5	0.2	0.5	0.5	10	-70	10	-70	10	-70	90	72	45	27	0	-27	-45	-72	-90	0	0	0	0	0	Centaur
0.5	0.2	0.5	0.5	10	-70	10	-70	10	-70	90	72	45	27	0	-27	-45	-72	-90	0	0	0	0	0	Elite Centaur
0.5	0.2	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Dwarf
0.5	0.2	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Battle Dwarf
0.5	0.35	0.5	0.5	38	-65	36	-59	21	-50	90	72	45	27	0	-27	-45	-72	-90	0	0	0	0	11	Wood Elf
0.5	0.35	0.5	0.5	32	-77	40	-61	18	-55	90	72	45	27	0	-27	-45	-72	-90	0	0	0	0	11	Grand Elf
0.5	0.2	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Pegasus
0.5	0.2	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Silver Pegasus
0.5	0.35	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Treefolk
0.5	0.35	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Briar Treefolk
0.5	0.35	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Unicorn
0.5	0.35	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	War Unicorn
0.5	0.2	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Green Dragon
0.5	0.2	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Gold Dragon



0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Apprentice Gremlin
0.5	0.2	0.5	0.5	55	-52	46	-17	9	9	90	72	45	27	0	-27	-45	-72	-90	0	0	0	0	11	Master Gremlin
0.5	0.2	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Stone Gargoyle
0.5	0.2	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Obsidian Gargoyle
0.5	0.35	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Iron Golem
