岗楼	岗楼允许你招募枪兵。
射手塔楼	射手塔楼允许你招募弓箭手。
狮鹫塔楼	狮鹫塔楼允许你招募狮鹫。
兵营	兵营允许你招募剑士。
寺院	寺院允许你招募僧侣。
训练场	训练场允许你招募骑兵。
云中城	云中城允许你招募天使。
高级岗楼	高级岗楼允许你招募戟兵。
高级射手塔楼	高级射手塔楼允许你招募神射手。
高级狮鹫塔楼	高级狮鹫塔楼允许你招募皇家狮鹫。
高级兵营	高级兵营允许你招募十字军。
高级寺院	高级寺院允许你招募祭司。
高级训练场	高级训练场允许你招募骑士。
高级云中城	高级云中城允许你招募大天使。
人马厩	人马厩允许你招募半人马。
矮人村舍	矮人村舍允许你招募矮人。
木屋	木屋允许你招募木精灵。
魔泉	魔泉允许你招募飞马。
枯木拱门	枯木拱门允许你招募枯木卫士。
林间圣地	林间圣地允许你招募独角兽。
龙崖	龙崖允许你招募绿龙。
高级人马厩	高级人马厩允许你招募半人马首领。
高级矮人村舍	高级矮人村舍允许你招募战斗矮人。
高级木屋	高级木屋允许你招募大精灵。
高级魔泉	高级魔泉允许你招募银飞马。
高级枯木拱门	高级枯木拱门允许你招募枯木战士。
高级林间圣地	高级林间圣地允许你招募独角神兽。
高级龙崖	高级龙崖允许你招募金龙。
钟楼	钟楼允许你招募小妖精。
鬼楼	鬼楼允许你招募石像鬼。
制造工场	制造工场允许你招募石人。
法师塔	法师塔允许你招募法师。
祈愿神坛	祈愿神坛允许你招募神怪。
金色帐篷	金色帐篷允许你招募蛇女。
云殿	云殿允许你招募巨人。
高级钟楼	高级钟楼允许你招募大妖精。
高级鬼楼	高级鬼楼允许你招募石像怪。
高级制造工场	高级制造工场允许你招募铁人。
高级法师塔	高级法师塔允许你招募大法师。
高级祈愿神坛	高级祈愿神坛允许你招募神怪主。
高级金色帐篷	高级金色帐篷允许你招募蛇妖。
高级云殿	高级云殿允许你招募泰坦巨人。
怪物熔炉	怪物熔炉允许你招募小怪物。
罪恶殿堂	罪恶殿堂允许你招募歌革。
狗窝	狗窝允许你招募地狱猎犬。
恶鬼之门	恶鬼之门允许你招募恶鬼。
黄泉鬼穴	黄泉鬼穴允许你招募邪神。
烈火神殿	烈火神殿允许你招募火精灵。
恶魔殿	恶魔殿允许你招募恶魔。
高级怪物熔炉	高级怪物熔炉允许你招募怪物。
高级罪恶殿堂	高级罪恶殿堂允许你招募玛各。
高级狗窝	高级狗窝允许你招募三首猎犬。
高级恶鬼之门	高级恶鬼之门允许你招募长角恶鬼。
高级黄泉鬼穴	高级黄泉鬼穴允许你招募邪神王。
高级烈火神殿	高级烈火神殿允许你招募烈火精灵。
高级恶魔殿	高级恶魔殿允许你招募大恶魔。
邪庙	邪庙允许你招募骷髅兵。
坟地	坟地允许你招募行尸。
灵墓	灵墓允许你招募幽灵。
幽宅	幽宅允许你招募吸血鬼。
陵墓	陵墓允许你招募尸巫。
暗黑殿	暗黑殿允许你招募暗黑骑士。
龙之顶	龙之顶允许你招募骨龙。
高级邪庙	高级邪庙允许你招募骷髅勇士。
高级坟地	高级坟地允许你招募僵尸。
高级灵墓	高级灵墓允许你招募阴魂。
高级幽宅	高级幽宅允许你招募吸血鬼王。
高级陵墓	高级陵墓允许你招募尸巫王。
高级暗黑殿	高级暗黑殿允许你招募恐怖骑士。
高级龙之顶	高级龙之顶允许你招募鬼龙。
暗穴	暗穴允许你招募洞穴人。
鸟阁	鸟阁允许你招募鹰身女妖。
邪眼之柱	邪眼之柱允许你招募邪眼。
静默之堂	静默之堂允许你招募美杜莎。
迷宫	迷宫允许你招募牛头怪。
蝎狮巢	蝎狮巢允许你招募蝎狮。
龙穴	龙穴允许你招募赤龙。
高级暗穴	高级暗穴允许你招募地狱洞穴人。
高级鸟阁	高级鸟阁允许你招募鹰身女巫。
高级邪眼之柱	高级邪眼之柱允许你招募毒眼。
高级静默之堂	高级静默之堂允许你招募美杜莎女王。
高级迷宫	高级迷宫允许你招募牛头王。
高级蝎狮巢	高级蝎狮巢允许你招募毒蝎狮。
高级龙穴	高级龙穴允许你招募黑龙。
大耳怪营	大耳怪营允许你招募大耳怪。
狼舍	狼舍允许你招募恶狼骑士。
兽人塔	兽人塔允许你招募半兽人。
食人魔堡垒	食人魔堡垒允许你招募食人魔。
壁巢	壁巢允许你招募大雕。
独眼洞穴	独眼洞穴允许你招募独眼巨人。
比蒙巢穴	比蒙巢穴允许你招募比蒙。
高级大耳怪营	高级大耳怪营允许你招募大耳怪王。
高级狼舍	高级狼舍允许你招募恶狼斗士。
高级兽人塔	高级兽人塔允许你招募半兽人首领。
高级食人魔堡垒	高级食人魔堡垒允许你招募食人魔王。
高级壁巢	高级壁巢允许你招募雷鸟。
高级独眼洞穴	高级独眼洞穴允许你招募独眼王。
高级比蒙巢穴	高级比蒙巢穴允许你招募比蒙巨兽。
狼屋	狼屋允许你招募狼人。
蜥蜴巢	蜥蜴巢允许你招募蜥蜴人。
毒蝇巢	毒蝇巢允许你招募毒蝇。
蜥蜴洞	蜥蜴洞允许你招募蜥蜴。
野牛棚	野牛棚允许你招募野牛。
飞龙巢	飞龙巢允许你招募飞龙。
九头怪池塘	九头怪池塘允许你招募九头怪。
高级狼屋	高级狼屋允许你招募大狼人。
高级蜥蜴巢	高级蜥蜴巢允许你招募蜥蜴勇士。
高级毒蝇巢	高级毒蝇巢允许你招募龙蝇。
高级蜥蜴洞	高级蜥蜴洞允许你招募巨蜥。
高级野牛棚	高级野牛棚允许你招募蛮牛。
高级飞龙巢	高级飞龙巢允许你招募飞龙王。
高级九头怪池塘	高级九头怪池塘允许你招募终极九头怪。
精灵花园	精灵花园允许你招募小精灵。
空气神坛	空气神坛允许你招募气元素。
流水神坛	流水神坛允许你招募水元素。
烈火神坛	烈火神坛允许你招募火元素。
大地神坛	大地神坛允许你招募土元素。
精神神坛	精神神坛允许你招募精神元素。
凤凰巢	凤凰巢允许你招募火鸟。
高级精灵花园	高级精灵花园允许你招募精灵。
高级空气神坛	高级空气神坛允许你招募雷元素。
高级流水神坛	高级流水神坛允许你招募冰元素。
高级烈火神坛	高级烈火神坛允许你招募烈火元素。
高级大地神坛	高级大地神坛允许你招募石元素。
高级精神神坛	高级精神神坛允许你招募魔法元素。
高级凤凰巢	高级凤凰巢允许你招募凤凰。
1级兵种生产建筑	允许你招募1级兵种。
2级兵种生产建筑	允许你招募2级兵种。
3级兵种生产建筑	允许你招募3级兵种。
4级兵种生产建筑	允许你招募4级兵种。
5级兵种生产建筑	允许你招募5级兵种。
6级兵种生产建筑	允许你招募6级兵种。
7级兵种生产建筑	允许你招募7级兵种。
升级后的1级兵种生产建筑	允许你招募升级后的1级兵种。
升级后的2级兵种生产建筑	允许你招募升级后的2级兵种。
升级后的3级兵种生产建筑	允许你招募升级后的3级兵种。
升级后的4级兵种生产建筑	允许你招募升级后的4级兵种。
升级后的5级兵种生产建筑	允许你招募升级后的5级兵种。
升级后的6级兵种生产建筑	允许你招募升级后的6级兵种。
升级后的7级兵种生产建筑	允许你招募升级后的7级兵种。
