	1st Creature Stack			2nd Creature Stack			3rd Creature Stack		
Name	Low	High	Type (reference only)	Low	High	Type (reference only)	Low	High	Type (reference only)
欧灵	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
威尔斯凯	4	7	LightCrossbowman	4	7	LightCrossbowman	4	7	LightCrossbowman
艾得力克	10	20	Pikeman	2	3	Griffin	2	3	Griffin
斯尔维亚	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
罗德-哈特	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
索萨	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
克里斯丁	10	20	Pikeman	1	1	Ballista	2	3	Griffin
塔里斯	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
瑞恩	10	20	Pikeman	1	1	FirstAidTent	2	3	Griffin
阿德拉	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
库斯伯特	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
艾德里得	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
因海姆	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
塞亚	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
罗尼斯	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
凯特琳	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
孟斐拉	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
尤佛瑞汀	3	5	Dwarf	3	5	Dwarf	3	5	Dwarf
杰诺娃	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
罗伊德	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
索格灵	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
伊沃	12	24	Centaur	3	6	WoodElf	3	6	WoodElf
克兰	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
凯琳	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
克洛尼斯	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
尤兰德	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
艾丽莎	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
珍尼	12	24	Centaur	1	1	FirstAidTent	3	6	WoodElf
马尔凯姆	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
马洛迪亚	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
艾拉戈	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
艾丽斯	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
匹克杰姆	3	5	StoneGargoyle	3	5	StoneGargoyle	3	5	StoneGargoyle
塞恩	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
琼斯菲尔	30	40	ApprenticeGremlin	2	2	IronGolem	2	3	IronGolem
妮拉	30	40	ApprenticeGremlin	4	4	StoneGargoyle	2	3	IronGolem
特洛萨	30	40	ApprenticeGremlin	1	1	Ballista	2	3	IronGolem
法佛纳	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
瑞萨	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
罗娜	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
艾斯却尔	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
海伦	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
塞瑞纳	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
黛瑞丝	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
塞德洛斯	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
索姆拉	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
塞瑞	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
埃尔尼	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
斐欧纳	15	25	Imp	3	4	HellHound	3	4	HellHound
瑞斯卡	15	25	Imp	4	7	Gog	3	4	HellHound
玛利斯	15	25	Imp	4	7	Gog	3	4	HellHound
伊格纳蒂斯	15	25	Imp	15	25	Imp	15	25	Imp
奥格塔维亚	15	25	Imp	4	7	Gog	3	4	HellHound
卡尔	4	7	Gog	4	7	Gog	4	7	Gog
斐瑞	15	25	Imp	1	1	Ballista	3	4	HellHound
