			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Name	Abbreviated Name	Level	Earth	Water	Fire	Air	None	Basic	Advanced	Expert	Power 	None	Basic	Advanced	Expert	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Conflux	None	Basic	Advanced	Expert	Normal	Basic	Advanced	Expert	"Attributes (reference only, do not change)"
																																	
Adventure Spells																																	
																																	
召船术	召船术	1	 	x	 	 	8	7	7	7	0	50	50	75	100	3	5	5	5	3	5	5	3	3	10	10	20	20	"{召船术}

召唤一艘己方的空船。

成功的机会有50%。
"	"{初级召船术}

召唤一艘己方的空船。

成功的机会有50%。
"	"{中级召船术}

召唤一艘己方的空船。如果没有现成的，可以造出一艘新船。

成功的机会达75%。
"	"{高级召船术}

召唤一艘己方的空船。如果没有现成的，可以造出一艘新船。

成功的机会达100%。
"	 ADV_SPELL
摧毁船只	摧毁船只	2	 	x	 	 	8	6	6	6	0	50	50	75	100	6	4	4	4	4	4	4	4	4	1	1	1	1	"{摧毁船只}

永久地毁坏一艘自己的船只。

成功机会有50%。
"	"{初级摧毁船只}

永久地毁坏一艘自己的船只。

成功机会有50%。
"	"{中级摧毁船只}

永久地毁坏一艘自己的船只。

成功机会达75%。
"	"{高级摧毁船只}

永久地毁坏一艘自己的船只。
"	 ADV_SPELL
透视之眼	透视之眼	2	x	x	x	x	4	2	2	2	0	1	1	2	3	2	2	2	4	2	2	2	2	2	1	1	1	1	"{透视之眼}

让你粗略了解对方军队、英雄和驻军的实力。"	"{初级透视之眼}

让你粗略了解对方军队、英雄和驻军的实力。如果附近有游荡的怪物，会告诉你他们的数量以及是否会加入。
"	"{中级透视之眼}

让你粗略了解对方军队、英雄和驻军的实力。如果附近有游荡的怪物，会告诉你他们的数量以及是否会加入。并且赋予你探知附近敌方英雄的基本技能状态、所带兵种及数量的能力。"	"{高级透视之眼}

让你了解对方军队、英雄、城镇和驻军的实力。如果附近有游荡的怪物，会告诉你他们的数量以及是否会加入。并且赋予你探知附近敌方英雄的基本技能状态、所带兵种及数量的能力。
"	 ADV_SPELL
透视大地	透视大地	1	x				2	1	1	1	0	0	0	0	0	3	3	3	3	3	3	3	3	3	1	1	1	1	"{透视大地}

显示所有资源的地点。
"	"{初级透视大地}

显示所有资源的地点。
"	"{中级透视大地}

显示所有资源和矿井的地点。
"	"{高级透视大地}

显示所有资源和矿井的地点及所有地形。
"	 ADV_SPELL
伪装大法	伪装大法	2	 	 	 	x	4	2	2	2	0	0	0	0	0	2	2	2	4	2	2	2	0	2	1	1	1	1	"{伪装大法}

给予试图窥探你的敌军假情报。
"	"{初级伪装大法}

令你所有部队都以你最精锐部队的实力情况显现在对手的视线里。生物的数量正常显示。
"	"{中级伪装大法}

令你所有部队都以你最精锐部队的实力情况显现在对手的视线里。生物的数量显示为零。
"	"{高级伪装大法}

令你所有部队都以最精锐部队的实力情况显现在对手的视线里。生物的数量显示为零。
"	 ADV_SPELL
透视大气	透视大气	1				x	2	1	1	1	0	0	0	0	0	3	3	3	3	3	3	3	3	3	1	1	1	1	"{透视大气}

显示所有宝物的方位。
"	"{初级透视大气}

显示所有宝物的方位。"	"{中级透视大气}

显示所有宝物和敌方英雄的方位。"	"{高级透视大气}

显示所有宝物、敌方英雄和城镇的方位。
"	 ADV_SPELL
飞行奇术	飞行奇术	5	 	 	 	x	20	15	15	15	0	60	60	80	100	0	16	16	16	16	12	0	0	13	30	30	40	50	"{飞行奇术}

利用英雄的移动点数飞越障碍，但最后必须着陆。
"	"{初级飞行奇术}

利用英雄的移动点数飞越障碍，但最后必须着陆。
"	"{中级飞行奇术}

利用英雄的移动点数飞越障碍，但最后必须着陆。
"	"{高级飞行奇术}

利用英雄的移动点数飞越障碍，但最后必须着陆。
"	 ADV_SPELL
凌波微步	凌波微步	4	 	x	 	 	12	8	8	8	0	60	60	80	100	10	10	10	10	10	10	0	0	10	15	15	20	25	"{凌波微步}

利用英雄的移动点数行走于水面，但最后必须上岸。"	"{初级凌波微步}

利用英雄的移动点数行走于水面，但最后必须上岸"	"{中级凌波微步}

利用英雄的移动点数行走于水面，但最后必须上岸。"	"{高级凌波微步}

利用英雄的移动点数行走于水面，但最后必须上岸。"	 ADV_SPELL
