大图横坐标	大图纵坐标		小图横坐标	小图纵坐标	
7	3	0	3	1	0
12	4	0	5	1	0
23	7	0	7	1	0
36	5	0	13	1	0
49	11	0	16	1	0
66	4	0	19	1	0
69	12	0	22	1	0
29	7	0	10	2	0
51	12	0	17	3	0
2	17	0	0	4	0
12	13	0	3	4	0
21	11	0	5	4	0
33	15	0	11	4	0
19	14	0	7	5	0
57	40	0	18	6	0
6	21	0	1	7	0
27	27	0	9	7	0
56	48	0	17	8	0
60	44	0	20	8	0
65	42	0	22	8	0
10	30	0	3	10	0
55	57	0	17	11	0
64	56	0	20	11	0
59	59	0	18	12	0
33	57	0	10	13	0
39	55	0	13	13	0
62	63	0	19	13	0
68	63	0	21	13	0
10	63	0	3	14	0
26	62	0	10	15	0
50	67	0	16	15	0
17	70	0	3	16	0
27	63	0	10	16	0
54	70	0	18	16	0


大图横坐标	大图纵坐标		小图横坐标	小图纵坐标	
61	6	0	20	1	0
68	7	0	21	1	0
7	7	0	3	2	0
19	8	0	6	2	0
40	8	0	12	2	0
71	20	0	21	3	0
3	13	0	1	4	0
71	21	0	21	4	0
39	22	0	14	5	0
15	19	0	5	6	0
2	22	0	0	7	0
6	31	0	1	9	0
21	35	0	8	9	0
41	39	0	14	7	0
68	44	0	22	9	0
70	53	0	22	10	0
33	48	0	11	11	0
66	57	0	21	11	0
16	52	0	5	13	0
3	63	0	0	14	0
40	60	0	14	14	0
61	65	0	20	14	0
11	66	0	1	15	0
34	71	0	13	16	0
49	70	0	16	16	0

5	5	0	2	2	0
31	6	0	12	1	0
34	35	0	13	9	0
67	40	0	25	7	0
70	68	0	25	17	0
