log records count: 1191

Patch 	0067F554/04 ->Apply       (HD3), z-order = 0
Patch 	00599B31/06 ->Apply       (HD3), z-order = 0
Patch 	0063A3C4/04 ->Apply       (HD3), z-order = 0
Patch 	0063A3C8/04 ->Apply       (HD3), z-order = 0
Patch 	0063A3CC/04 ->Apply       (HD3), z-order = 0
Patch 	0063A3D0/04 ->Apply       (HD3), z-order = 0
Patch 	0063A3D4/04 ->Apply       (HD3), z-order = 0
Patch 	0063A3D8/04 ->Apply       (HD3), z-order = 0
Patch 	0063A3DC/04 ->Apply       (HD3), z-order = 0
Patch 	0063A3E0/04 ->Apply       (HD3), z-order = 0
Patch 	0063A3E4/04 ->Apply       (HD3), z-order = 0
Patch 	0063A3E8/04 ->Apply       (HD3), z-order = 0
Patch 	0063A3EC/04 ->Apply       (HD3), z-order = 0
Patch 	0063A3F0/04 ->Apply       (HD3), z-order = 0
Patch 	0063A3F4/04 ->Apply       (HD3), z-order = 0
Patch 	0063A3F8/04 ->Apply       (HD3), z-order = 0
Patch 	0063A3FC/04 ->Apply       (HD3), z-order = 0
Patch 	0063A400/04 ->Apply       (HD3), z-order = 0
Patch 	0063A404/04 ->Apply       (HD3), z-order = 0
Patch 	0063A408/04 ->Apply       (HD3), z-order = 0
Patch 	0063A40C/04 ->Apply       (HD3), z-order = 0
Patch 	0063A410/04 ->Apply       (HD3), z-order = 0
Patch 	0063A414/04 ->Apply       (HD3), z-order = 0
Patch 	0063A418/04 ->Apply       (HD3), z-order = 0
Patch 	0063A41C/04 ->Apply       (HD3), z-order = 0
Patch 	0063A420/04 ->Apply       (HD3), z-order = 0
Patch 	0063A424/04 ->Apply       (HD3), z-order = 0
Patch 	0063A428/04 ->Apply       (HD3), z-order = 0
Patch 	0063A42C/04 ->Apply       (HD3), z-order = 0
Patch 	0063A430/04 ->Apply       (HD3), z-order = 0
Patch 	0063A434/04 ->Apply       (HD3), z-order = 0
Patch 	0063A438/04 ->Apply       (HD3), z-order = 0
Patch 	0063A43C/04 ->Apply       (HD3), z-order = 0
HiHook	004F80C0/06 ->Apply       (HD3), z-order = 0
Patch 	0049D599/06 ->Apply       (HD3), z-order = 0
Patch 	004EECFA/05 ->Apply       (HD3), z-order = 0
Patch 	004F80FE/06 ->Apply       (HD3), z-order = 0
Patch 	0045724E/04 ->Apply       (HD3), z-order = 0
Patch 	00457253/04 ->Apply       (HD3), z-order = 0
Patch 	00457258/01 ->Apply       (HD3), z-order = 0
Patch 	0045725A/04 ->Apply       (HD3), z-order = 0
Patch 	004D5CEE/04 ->Apply       (HD3), z-order = 0
Patch 	004D5CF3/04 ->Apply       (HD3), z-order = 0
Patch 	004D5CF8/01 ->Apply       (HD3), z-order = 0
Patch 	004D5CFA/04 ->Apply       (HD3), z-order = 0
Patch 	004FC185/04 ->Apply       (HD3), z-order = 0
Patch 	004FC18A/04 ->Apply       (HD3), z-order = 0
Patch 	004FC18F/01 ->Apply       (HD3), z-order = 0
Patch 	004FC191/04 ->Apply       (HD3), z-order = 0
HiHook	004EEA70/09 ->Apply       (HD3), z-order = 0
HiHook	005FF5E0/06 ->Apply       (HD3), z-order = 0
HiHook	005FF0A0/06 ->Apply       (HD3), z-order = 0
HiHook	005FF220/06 ->Apply       (HD3), z-order = 0
Patch 	004B688B/01 ->Apply       (HD3), z-order = 0
HiHook	00603190/06 ->Apply       (HD3), z-order = 0
Patch 	00683CAC/01 ->Apply       (HD3), z-order = 0
Patch 	004B5347/05 ->Apply       (HD3), z-order = 0
Patch 	004B53E3/05 ->Apply       (HD3), z-order = 0
Patch 	004EE036/05 ->Apply       (HD3), z-order = 0
Patch 	004EE06F/06 ->Apply       (HD3), z-order = 0
Patch 	004EE0D1/01 ->Apply       (HD3), z-order = 0
Patch 	00684AF8/12 ->Apply       (HD3), z-order = 0
HiHook	0059A770/05 ->Apply       (HD3), z-order = 0
HiHook	0059A7C0/05 ->Apply       (HD3), z-order = 0
HiHook	0059A710/07 ->Apply       (HD3), z-order = 0
Patch 	004EC800/05 ->Apply       (HD3), z-order = 0
Patch 	004EC7C6/06 ->Apply       (HD3), z-order = 0
HiHook	004F8290/07 ->Apply       (HD3), z-order = 0
HiHook	004EC355/05 ->Apply       (HD3), z-order = 0
HiHook	004F812E/05 ->Apply       (HD3), z-order = 0
HiHook	00601ACC/05 ->Apply       (HD3), z-order = 0
HiHook	0055AA10/05 ->Apply       (HD3), z-order = 0
HiHook	0055B22A/05 ->Apply       (HD3), z-order = 0
LoHook	0055CA26/05 ->Apply       (HD3), z-order = 0
HiHook	00619691/06 ->Apply       (HD3), z-order = 0
Patch 	005CEC51/04 ->Apply       (HD3), z-order = 0
HiHook	00412BA0/06 ->Apply       (HD3), z-order = 0
LoHook	0040A077/05 ->Apply       (HD3), z-order = 0
LoHook	005FD156/05 ->Apply       (HD3), z-order = 0
LoHook	005FCCD6/05 ->Apply       (HD3), z-order = 0
LoHook	005FCCEE/06 ->Apply       (HD3), z-order = 0
Patch 	005FA748/01 ->Apply       (HD3), z-order = 0
Patch 	005FA7B7/03 ->Apply       (HD3), z-order = 0
Patch 	005FA91A/01 ->Apply       (HD3), z-order = 0
