	Description		
Name	Basic	Advanced	Expert
寻路术	"{初级寻路术}

初级寻路术可使英雄移动时受地形的影响减少25%。
"	"{中级寻路术}

中级寻路术可使英雄移动时受地形的影响减少50%。
"	"{高级寻路术}

高级寻路术可使英雄移动时受地形的影响减少75%。
"
箭术	"{初级箭术}

初级箭术可使远程攻击部队的杀伤力提高10%。
"	"{中级箭术}

中级箭术可使远程攻击部队的杀伤力提高25%。
"	"{高级箭术}

高级箭术可使远程攻击部队的杀伤力提高50%。
"
后勤学	"{初级后勤学}

初级后勤学可使英雄在陆地上的移动点数增加10%。"	"{中级后勤学}

中级后勤学可使英雄在陆地上的移动点数增加20%。"	"{高级后勤学}

高级后勤学可使英雄在陆地上的移动点数增加30%。"
侦察术	"{初级侦察术}

初级侦察术可使英雄的视野范围增加1格。"	"{中级侦察术}

中级侦察术可使英雄的视野范围增加2格"	"{高级侦察术}

高级侦察术可使英雄的视野范围增加3格"
外交术	"{初级外交术}

初级外交术可说服比你弱小的怪物加入你的阵营，投降时的费用也可降低20%。"	"{中级外交术}

中级外交术可说服比你弱小的怪物加入你的阵营，投降时的费用也可降低40%。"	"{高级外交术}

高级外交术可说服比你弱小的怪物加入你的阵营，投降时的费用也可降低60%。"
航海术	"{初级航海术}

初级航海术可使英雄在海上的移动点数增加50%。"	"{中级航海术}

中级航海术可使英雄在海上的移动点数增加100%。"	"{高级航海术}

高级航海术可使英雄在海上的移动点数增加150%。"
领导术	"{初级领导术}

初级领导术可使英雄部队的士气提高1。"	"{中级领导术}

中级领导术可使英雄部队的士气提高2。"	"{高级领导术}

高级领导术可使英雄部队的士气提高3。"
智慧术	"{初级智慧术}

初级智慧术可使英雄学会3级魔法。"	"{中级智慧术}

中级智慧术可使英雄学会4级魔法。"	"{高级智慧术}

高级智慧术可使英雄学会5级魔法。"
神秘术	"{初级神秘术}

初级神秘术可使英雄每日恢复2点魔法值。"	"{中级神秘术}

中级神秘术可使英雄每日恢复3点魔法值。"	"{高级神秘术}

高级神秘术可使英雄每日恢复4点魔法值。"
幸运术	"{初级幸运术}

初级幸运术可使英雄的幸运值提高1。"	"{中级幸运术}

中级幸运术可使英雄的幸运值提高2。"	"{高级幸运术}

高级幸运术可使英雄的幸运值提高3。"
弹道术	"{初级弹道术}

初级弹道术可使英雄自己控制投石车，每次向敌军发射1次，并且提高杀伤力。"	"{中级弹道术}

中级弹道术可使英雄自己控制投石车，每次向敌军发射2次，并且提高杀伤力。"	"{高级弹道术}

高级弹道术可使英雄自己控制投石车，每次向敌军发射2次，并且杀伤力达到最大。"
鹰眼术	"{初级鹰眼术}

初级鹰眼术可使英雄有40%的机会偷学到敌人在战斗中使用的1级和2级魔法。"	"{中级鹰眼术}

中级鹰眼术可使英雄有50%的机会偷学到敌人在战斗中使用的3级及3级以下魔法。"	"{高级鹰眼术}

高级鹰眼术可使英雄有60%的机会偷学到敌人在战斗中使用的4级及4级以下魔法。"
招魂术	"{初级招魂术}

初级招魂术可使英雄将10%在战斗中死亡的生物变成骷髅兵。"	"{中级招魂术}

中级招魂术可使英雄将20%在战斗中死亡的生物变成骷髅兵。"	"{高级招魂术}

高级招魂术可使英雄将30%在战斗中死亡的生物变成骷髅兵。"
理财术	"{初级理财术}

初级理财术可使你每日多得到125个金币。
"	"{中级理财术}

中级理财术可使你每日多得到250个金币。
"	"{高级理财术}

高级理财术可使你每日多得到500个金币。
"
火系魔法	"{初级火系魔法}

初级火系魔法可减少英雄在使用火系魔法时所消耗的魔法值。"	"{中级火系魔法}

中级火系魔法可减少英雄在使用火系魔法时所消耗的魔法值并增强效果。"	"{高级火系魔法}

高级火系魔法可减少英雄在使用火系魔法时所消耗的魔法值并使效果达到最佳。"
气系魔法	"{初级气系魔法}

初级气系魔法可减少英雄在使用气系魔法时所消耗的魔法值。"	"{中级气系魔法}

中级气系魔法可减少英雄在使用气系魔法时所消耗的魔法值并增强效果。"	"{高级气系魔法}

高级气系魔法可减少英雄在使用气系魔法时所消耗的魔法值并使效果达到最佳。"
水系魔法	"{初级水系魔法}

初级水系魔法可减少英雄在使用水系魔法时所消耗的魔法值。"	"{中级水系魔法}

中级水系魔法可减少英雄在使用水系魔法时所消耗的魔法值并增强效果。"	"{高级水系魔法}

高级水系魔法可减少英雄在使用水系魔法时所消耗的魔法值并使效果达到最佳。"
土系魔法	"{初级土系魔法}

初级土系魔法可减少英雄在使用土系魔法时所消耗的魔法值。"	"{中级土系魔法}

中级土系魔法可减少英雄在使用土系魔法时所消耗的魔法值并增强效果。"	"{高级土系魔法}

高级土系魔法可减少英雄在使用土系魔法时所消耗的魔法值并使效果达到最佳。"
学术	"{初级学术}

初级学术可使英雄与其他英雄互相学习1级和2级魔法。"	"{中级学术}

中级学术可使英雄与其他英雄互相学习3级及3级以下魔法。"	"{高级学术}

高级学术可使英雄与其他英雄互相学习4级及4级以下魔法。"
战术	"{初级战术}

初级战术可让英雄在战斗前在3格以内部署他的部队。"	"{中级战术}

中级战术可让英雄在战斗前在5格以内部署他的部队。"	"{高级战术}

高级战术可让英雄在战斗前在7格以内部署他的部队。"
炮术	"{初级炮术}

初级炮术可允许英雄自己控制弩车，每轮发射2发，并有50%的机会造成2倍的损伤。"	"{中级炮术}

中级炮术可允许英雄自己控制弩车，每轮发射2发，并有75%的机会造成2倍的损伤。"	"{高级炮术}

高级炮术可允许英雄自己控制弩车，每轮发射2发，并可造成2倍的损伤。"
学习能力	"{初级学习能力}

初级学习能力可使英雄每次多获得5%的经验值。"	"{中级学习能力}

中级学习能力可使英雄每次多获得10%的经验值。"	"{高级学习能力}

高级学习能力可使英雄每次多获得15%的经验值。"
进攻术	"{初级进攻术}

初级进攻术可使英雄的部队在近身搏斗中杀伤力提高10%。"	"{中级进攻术}

中级进攻术可使英雄的部队在近身搏斗中杀伤力提高20%。"	"{高级进攻术}

高级进攻术可使英雄的部队在近身搏斗中杀伤力提高30%。"
防御术	"{初级防御术}

初级防御术可使英雄的部队在遭到攻击时损伤减少5%。"	"{中级防御术}

中级防御术可使英雄的部队在遭到攻击时损伤减少10%。"	"{高级防御术}

高级防御术可使英雄的部队在遭到攻击时损伤减少15%。"
智力	"{初级智力}

初级智力可使英雄的最大魔法值提高25%。"	"{中级智力}

中级智力可使英雄的最大魔法值提高50%。"	"{高级智力}

高级智力可使英雄的最大魔法值翻倍。"
魔力	"{初级魔力}

初级魔力可使英雄在战斗中的魔法杀伤力提高5%。"	"{中级魔力}

中级魔力可使英雄在战斗中的魔法杀伤力提高10%。"	"{高级魔力}

高级魔力可使英雄在战斗中的魔法杀伤力提高15%。"
抵抗力	"{初级抵抗力}

初级抵抗力可使英雄部队的魔法抵抗力提高5%。"	"{中级抵抗力}

中级抵抗力可使英雄部队的魔法抵抗力提高10%。"	"{高级抵抗力}

高级抵抗力可使英雄部队的魔法抵抗力提高20%。"
急救术	"{初级急救术}

初级急救术可使英雄在战斗中自己控制急救帐篷，最多恢复50点生命值。"	"{中级急救术}

中级急救术可使英雄在战斗中自己控制急救帐篷，最多恢复75点生命值。"	"{高级急救术}

高级急救术可使英雄在战斗中自己控制急救帐篷，最多恢复100点生命值。"
