Comment	Message Text
0% Exp Stack Rank	Basic
10%	Novice
20%	Trained
30%	Skilled
40%	Proven
50%	Veteran
60%	Adept
70%	Expert
80%	Elite
90%	Master
100%	Ace
Block message	部队设法挡住了这次攻击
13	部队经验
14	 [级别 
15	] 有
16	] 有
17	点经验,最多为
18	 经验点.
19	每级百分比
20	每级的经验百分比
21	每级需经验
22	每级需要的经验
23 A	攻击力
24 A	攻击力奖励
25 D	防御力
26 D	防御力奖励
27 H	生命
28 H	生命奖励
29 m	最小伤害
30 m	最小伤害奖励
31 M	最大伤害 
32 M	最大伤害奖励
33 S	速度
34 S	速度奖励
35 O	弹药数
36 O	额外弹药数
37 P	施法次数
38 P	额外施法次数
39 f,F	飞行
40 f,F	生物能飞行
41 f,F	能飞行(无视障碍)
42 f,S	射击
43 f,S	生物能进行远程攻击
44 f,S	能进行远程攻击
45 f,B	龙息
46 f,B	生物具有龙息攻击(攻击相邻的两格)
47 f,B	具有龙息攻击(攻击相邻的两格)
48 f,L	生物
49 f,L	有生命的生物
50 f,L	有生命的
51 f,1	KING 1
52 f,1	生物属于KING 1族
53 f,1	属于KING 1族
54 f,2	KING 2
55 f,2	生物属于KING 2族
56 f,2	属于KING 2族
57 f,3	KING 3
58 f,3	生物属于KING 3族
59 f,3	属于KING 3族
60 f,P	意志
61 f,P	免疫一切精神魔法
62 f,P	免疫一切精神魔法
63 f,E	肉搏
64 f,E	肉搏战中伤害不减半
65 f,E	肉搏战中伤害不减半
66 f,I	火免
67 f,I	免疫火系魔法
68 f,I	免疫火系魔法
69 f,D	双击
70 f,D	部队可以双击
71 f,D	部队可以双击
72 f,R	无反击
73 f,R	敌人无法反击
74 f,R	敌人无法反击
75 f,M	无士气
76 f,M	该部队不受士气影响
77 f,M	该部队不受士气影响
78 f,U	亡灵
79 f,U	生物为亡灵
80 f,U	亡灵
81 f,A	环击
82 f,A	攻击周围的敌人
83 f,A	攻击周围的敌人
84 f,G	龙
85 f,G	生物具有龙的天性
86 f,G	龙的天性
87 -	??Undef??
88 B	格挡
89 B	完全格挡住物理攻击
90 B	有机会格挡住物理攻击
91	??Undef??
92	现在的属性奖励:
93	NO
94	YES
95	NO
96	无特别设定
97	部队具有该奖励
98	部队没有该奖励
99	+
100	+
101	%
102	=
103 C	魔法
104 C	减少己方英雄的魔法消耗
105 C	减少己方英雄的魔法消耗
106	"检查相关的升级部队的属性"
107 F	恐惧
108 F	有机会令敌人恐惧而失去行动机会
109 F	有机会令敌人恐惧而失去行动机会
110 R	反击
111 R	增加反击次数
112 d	防御
113 d	增加防御后的防御力
114 W	抗魔(矮人类型)
115 W	有机会不受敌人魔法影响
116 i	无视距离
117 i	无视距离
118 i	无视距离
119 o	无视障碍
120 o	无视障碍
121 o	无视障碍
122	部队等级
123 e	死亡一击
124 e	造成双倍伤害
125 e	造成双倍伤害
126 h	仇敌
127 h	对特定生物造成更多伤害
128 h	造成更多伤害对:
129 h	天敌: 
130 c	魔法攻击
131 c	攻击后对目标施放魔法
132 c	可以施放的魔法是:
133 s	施法
134 s	该部队每次战斗开始时施放一个魔法
135 s	NO
136 s	Basic
137 s	Adv.
138 s	Expert
139 s	该部队拥有的奖励有: %s 
140 p	魔力
141 p	攻击前施放魔法
142 p	攻击前施放专家或全体魔法 : 
143 s	全体魔法为: 
144 h	对特定的生物造成较少的伤害
145 h	造成较少的伤害对: 
146 a	魔力Ⅱ
147 a	攻击后施放魔法
148 a	攻击后施放专家或全体魔法 : 
149 f,b	攻击返回
150 f,b	近身攻击后返回出发点
151 f,b	攻击后返回
152 w,1	免疫1级魔法
153 w,1	免疫1级魔法
154 w,1	免疫1级魔法
155 w,2	免疫1-2级魔法
156 w,2	免疫1-2级魔法
157 w,2	免疫1-2级魔法
158 w,3	免疫1-3级魔法
159 w,3	免疫1-3级魔法
160 w,3	免疫1-3级魔法
161 w,4	免疫1-4级魔法
162 w,4	免疫1-4级魔法
163 w,4	免疫1-4级魔法
164 w,5	免疫1-5级魔法
165 w,5	免疫1-5级魔法
166 w,5	免疫1-5级魔法
167 w,C	冰免
168 w,C	免疫冰魔法(冰箭、冰环)
169 w,C	免疫冰魔法(冰箭、冰环)
170 w,R	免疫末日
171 w,R	免疫末日
172 w,R	免疫末日
173 w,A	气免
174 w,A	免疫气系魔法
175 w,A	免疫气系魔法
176 w,F	火免
177 w,F	免疫火系魔法
178 w,F	免疫火系魔法
179 w,W	水免
180 w,W	免疫水系魔法
181 w,W	免疫水系魔法
182 w,E	土免
183 w,E	免疫土系魔法
184 w,E	免疫土系魔法
185 w,L	免疫闪电
186 w,L	免疫闪电类魔法
187 w,L	免疫闪电类魔法
188 w,0	接受
189 w,0	可以接受祝福类魔法
190 w,0	可以接受祝福类魔法
191 w,M	免疫流星雨
192 w,M	免疫流星雨
193 w,M	免疫流星雨
194 w,I	免疫雷鸣爆弹
195 w,I	免疫雷鸣爆弹
196 w,I	免疫雷鸣爆弹
197 w,P	免疫驱散
198 w,P	免疫驱散
199 w,P	免疫驱散
200 w,E	免疫针对有益魔法的驱散
201 w,E	免疫针对有益魔法的驱散
202 w,E	免疫针对有益魔法的驱散
203 w,B	免疫失明
204 w,B	免疫失明
205 w,B	免疫失明
206 w,K	免疫发狂
207 w,K	免疫发狂
208 w,K	免疫发狂
209 w,H	免疫催眠
210 w,H	免疫催眠
211 w,H	免疫催眠
212 w,S	免疫减速
213 w,S	免疫减速
214 w,S	免疫减速
215 b	降低目标防御
216 b	按百分比降低目标防御
217 b	降低目标防御
218	冲锋
219	冲锋攻击(每多走一格增加5%的伤害)
220	冲锋攻击(每多走一格增加5%的伤害)
221	- 
222	傀儡
223	类似傀儡的降低魔法伤害的抗魔
224	回复
225	可以回复的生命:
226	有
227	%机会自动回复
228	 HP
229	士气
230	永远有正的士气
231	永远有正的士气
232	近身射击
233	让怪物在敌人近身时也能射击
234	让怪物在敌人近身时也能射击
235	全体魔法(生物免疫)是: 
236	增加施法次数
237	增加弹药数
238	增加反击的次数
239	进行防御后可得到更多的防御力奖励
240	有机会不受魔法影响
241	减少魔法伤害
242	(包括有益的)
243	无惧
244	免疫恐惧
245	免疫恐惧
246	重生
247	被消灭后,20%的部队重生
248	被消灭后,20%的部队重生
249	抗魔区域
250	抗魔区域(给身边的部队增加20%的魔法抗性)
251	给身边的部队增加20%的魔法抗性
252	死亡凝视
253	死亡凝视
254	死亡凝视
255 s,6	全体魔法(其它生物免疫)是: 
Partial Block message	部队挡住了部分攻击（ %i%%伤害， %i%% 机会）
257 Deflect	偏移
258 Deflect	这个技能可以让怪物有一定的几率减少伤害
259 Deflect	有 
260 Deflect	%几率减少一部分伤害
261 Deflect	这个技能可以让怪物有一定的几率减少伤害
262 Deflect	%的伤害
263 s	全体
264 s	全体+R
265 s	全体+RE
266 w,O	免疫火攻击
267 w,O	免疫火系攻击魔法(不包括魔箭)
268 w,O	免疫火系攻击魔法(不包括魔箭)
269 w,D	无敌!!
270 w,D	免疫所有直接伤害魔法!
271 w,D	免疫所有直接伤害魔法!
272 w,p	驱散
273 w,p	免疫针对有益魔法的驱散
274 w,p	驱散魔法不能驱去有益魔法
275 w,m	钢铁意志
276 w,m	这个技能可以让怪物免疫除了"欢欣鼓舞"和"孤注一掷"之外所有的精神系魔法
277 w,m	这个技能可以让怪物免疫除了"欢欣鼓舞"和"孤注一掷"之外所有的精神系魔法
278 w,?	
279 w,?	
280 w,?	
281 w,?	
282 w,?	
283 w,?	
284 w,?	
285 w,?	
286 w,?	
287 w,?	
288 w,?	
289 w,?	
290 w,?	
291 w,?	
292 w,?	
293 w,?	
294 w,?	
295 w,?	
296 w,?	
297 w,?	
298 w,?	
299 w,?	
300 w,?	
301 w,?	
302 G	神圣护卫
303 G	增加圣侏儒的护卫
304 G	把护卫升级
305 G	增加圣侏儒的护卫
306 G	把护卫升级
307 G	增加圣侏儒的护卫
308 U	召唤
309 U	从第二回合开始每四回合召唤一定数量的怪物
310 U	从第二回合开始每四回合召唤 % 个怪物
311 U	从第二回合开始每四回合召唤一定数量的怪物
312 u	立即召唤
313 u	在身边召唤护卫,每回合都召唤
314 u	从第二回合开始每四回合召唤 % 怪物
315 u	在身边召唤护卫,每回合都召唤
316 l	召唤复制体
317 l	从第二回合开始，每回合召唤 % 个克隆体
318 l	从第二回合开始，每回合召唤 % 个克隆体
319 l	从第二回合开始，每回合召唤克隆体于 
320	 (不包括有益的)
321	,几率为 
322	 更多伤害
323	 较少伤害
324	.造成 
325	
           部 队 经 验 细 节      
部队类型 ................. : %s
部队级别 ................. : %s (%i)
经验值 ................... : %i
升级所需的经验 ........... : %i
每场战斗可获得最大经验 ... : %i%% (%i)
该部队的数量 ............. : %i
维持级别不下降,
允许加入的最大同类部队 ... : %i
经验因子 ................. : %.2f
升级因子 ................. : %.2f
10级后还能获得最大经验 ... : %i
满经验时,能维持在10级状态,
允许加入的最大同类部队 ... : %i
326	女巫
327	攻击前可能施放一个专家级魔法
328	攻击前可能施放一个专家级魔法:
329	龙巫妖
330	攻击前可能施放一个初级魔法
331	攻击前可能施放一个初级魔法:
332	女巫
333	攻击前可能施放一个专家级魔法
334	攻击前可能施放一个专家级魔法:
335	龙巫妖
336	攻击前可能施放一个初级魔法
337	攻击前可能施放一个初级魔法:
338	检查升级后的部队属性(如果有的话)

升级后的部队经验值为原经验值乘以升级因子.
339	改变宝物属性
340	令该部队的生命奖励*2+2.
341	令该部队的攻击奖励*2+2.
342	令该部队的防御奖励*2+2.
343	令该部队的伤害奖励*2+1,对最小/最大伤害都有效
344	令该部队的速度奖励*2+1.
345	该部队每次战斗多获得50%的经验.
346	减少目标的防御力25%.
347	有25%的机会减少50%的伤害
348	多2次反击机会
349	Art Option 9
350	Art Option 10
351	Art Option 11
352	Art Option 12
353	Art Option 13
354	Art Option 14
355	Art Option 15
356	[<POSITION=C>]当战斗时,你不能改变宝物的设定
或是检查升级生物的属性.
357	部队经验系统没有启动,所以你不能给部队装备宝物.
358	生物不能使用这个宝物。
359	该部队已经装备一件宝物了。
360	Cannot add artifact (internal reason).
361	[<POSITION=C>]该宝物目前的奖励是:
%s

如果你要改变它,请右击.
362	部队可以装备战神旗帜以提高能力(把旗放到部队上)
363	[<POSITION=C>]部队可以装备战神旗帜以提高能力(把旗放到部队上)
364	当前的奖励: %s (左击返回宝物到英雄,右击改变属性)
365	使该部队在战斗中有额外的弹药量.
366	使该部队在战斗中有更多的施法次数。例如大天使在一场战斗中可以不止一次的施放复活魔法；凤凰也可能复活两次，等等.
