Name		Cost															Damage				Adv. Map			
Singular	Plural	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Fight Value	AI Value	Growth	Horde Growth	Hit Points	Speed	Attack	Defense	Low	High	Shots	Spells	Low	High	Ability Text	"Attributes (Reference only, do not change these values)"
枪兵	枪兵	0	0	0	0	0	0	60	100	80	14	0	10	4	4	5	1	3	0	0	20	50		0
戟兵	戟兵	0	0	0	0	0	0	75	115	115	14	0	10	5	6	5	2	3	0	0	20	30		0
弓箭手	弓箭手	0	0	0	0	0	0	100	115	126	9	0	10	4	6	3	2	3	12	0	16	30		SHOOTING_ARMY
神射手	神射手	0	0	0	0	0	0	150	115	184	9	0	10	6	6	3	2	3	24	0	16	25	射击2次。	const_two_attacks | SHOOTING_ARMY
狮鹫	狮鹫	0	0	0	0	0	0	200	324	351	7	3	25	6	8	8	3	6	0	0	12	25	反击2次。	DOUBLE_WIDE | FLYING_ARMY
皇家狮鹫	皇家狮鹫	0	0	0	0	0	0	240	364	448	7	3	25	9	9	9	3	6	0	0	12	20	反击无限。	DOUBLE_WIDE|FLYING_ARMY
剑士	剑士	0	0	0	0	0	0	300	445	445	4	0	35	5	10	12	6	9	0	0	10	20		0
十字军	十字军	0	0	0	0	0	0	400	588	588	4	0	35	6	12	12	7	10	0	0	10	16	攻击2次。	const_two_attacks
僧侣	僧侣	0	0	0	0	0	0	400	485	485	3	0	30	5	12	7	10	12	12	0	8	16		SHOOTING_ARMY
祭司	祭司	0	0	0	0	0	0	450	500	750	3	0	30	7	12	10	10	12	24	0	8	12	肉搏战中杀伤力不减。	SHOOTING_ARMY | const_no_melee_penalty
骑兵	骑兵	0	0	0	0	0	0	1000	1668	1946	2	0	100	7	15	15	15	25	0	0	5	12	杀伤力可增大。	DOUBLE_WIDE | const_jousting
骑士	骑士	0	0	0	0	0	0	1200	1800	2100	2	0	100	9	16	16	20	25	0	0	5	10	杀伤力可增大。	DOUBLE_WIDE | const_jousting
天使	天使	0	0	0	0	0	1	3000	3585	5019	1	0	200	12	20	20	50	50	0	0	4	10	恶魔的死敌。	FLYING_ARMY | const_raises_morale | KING_2
大天使	大天使	0	0	0	0	0	3	5000	6033	8776	1	0	250	18	30	30	50	50	0	1	3	8	士气+1。恶魔的死敌。可以复活盟友。	DOUBLE_WIDE | FLYING_ARMY | const_raises_morale | KING_2
																								
																								
																								
半人马	半人马	0	0	0	0	0	0	70	100	100	14	0	8	6	5	3	2	3	0	0	20	50		DOUBLE_WIDE
半人马首领	半人马首领	0	0	0	0	0	0	90	115	138	14	0	10	8	6	3	2	3	0	0	20	30		DOUBLE_WIDE
矮人	矮人	0	0	0	0	0	0	120	194	138	8	4	20	3	6	7	2	4	0	0	16	30	20%的魔法抵抗力。	0
战斗矮人	战斗矮人	0	0	0	0	0	0	150	209	209	8	4	20	5	7	7	2	4	0	0	16	25	40%的魔法抵抗力。	0
木精灵	木精灵	0	0	0	0	0	0	200	195	234	7	0	15	6	9	5	3	5	24	0	12	25		SHOOTING_ARMY
大精灵	大精灵	0	0	0	0	0	0	225	195	331	7	0	15	7	9	5	3	5	24	0	12	20	射击2次。	SHOOTING_ARMY | const_two_attacks
飞马	飞马	0	0	0	0	0	0	250	407	518	5	0	30	8	9	8	5	9	0	0	10	20	敌方施法者的克星。	DOUBLE_WIDE | FLYING_ARMY
银飞马	银飞马	0	0	0	0	0	0	275	418	532	5	0	30	12	9	10	5	9	0	0	10	16	敌方施法者的克星。	DOUBLE_WIDE | FLYING_ARMY
枯木卫士	枯木卫士	0	0	0	0	0	0	350	690	517	3	2	55	3	9	12	10	14	0	0	8	16	用树根缠住敌人。	0
枯木战士	枯木战士	0	0	0	0	0	0	425	765	803	3	2	65	4	9	12	10	14	0	0	8	12	用树根缠住敌人。	0
独角兽	独角兽	0	0	0	0	0	0	850	1548	1806	2	0	90	7	15	14	18	22	0	0	5	12	抵抗魔法。使敌人失明。	DOUBLE_WIDE
独角神兽	独角神兽	0	0	0	0	0	0	950	1740	2030	2	0	110	9	15	14	18	22	0	0	5	10	抵抗魔法。使敌人失明。	DOUBLE_WIDE
绿龙	绿龙	0	0	0	0	1	0	2400	3654	4872	1	0	180	10	18	18	40	50	0	0	4	10	不怕1-3级魔法。	DOUBLE_WIDE | FLYING_ARMY | KING_1
金龙	金龙	0	0	0	0	2	0	4000	6220	8613	1	0	250	16	27	27	40	50	0	0	3	8	不怕1-4级魔法。	DOUBLE_WIDE | FLYING_ARMY | KING_1
